,0,1
0,5.187747401050728,5.0
1,5.322277893598292,6.0
2,6.280045282637221,6.0
3,5.682171167051641,6.0
4,6.45910119418675,6.0
5,6.750424941606578,6.0
6,5.923860519366543,6.0
7,4.5298150488830045,5.0
8,6.07197870419816,5.0
9,5.322591311540848,5.0
10,6.248521331112502,6.0
11,5.195030535418265,6.0
12,5.5136733806578215,6.0
13,6.333344641080278,6.0
14,5.917867436458822,6.0
15,5.2077564344065435,5.0
16,7.009360413257856,6.0
17,5.087079810182333,5.0
18,5.442520902452665,5.0
19,5.379604987402307,5.0
20,5.822901763292934,6.0
21,6.151438035782098,6.0
22,5.378814116282455,5.0
23,6.271859982649112,6.0
24,5.109776884584327,6.0
25,6.300459438358016,6.0
26,6.303309015776471,6.0
27,5.1836519198674,6.0
28,5.04760498012969,6.0
29,6.853393776408842,7.0
30,5.445935169990766,6.0
31,6.634058093317665,6.0
32,5.561302166905469,5.0
33,6.678785698486751,6.0
34,5.1557096266698155,5.0
35,5.533172182650291,6.0
36,5.189655072067851,5.0
37,5.829213619310056,7.0
38,6.164196990424194,6.0
39,4.9706889817684585,5.0
40,6.50109129280593,6.0
41,5.056142804894464,5.0
42,4.985157534682016,5.0
43,6.092735068150572,6.0
44,5.160922481398333,5.0
45,5.846713965978856,6.0
46,5.124881855563014,5.0
47,5.605274805900778,5.0
48,5.568663786551129,5.0
49,6.347040647682321,6.0
50,4.9651364039098205,5.0
51,4.750858537728719,4.0
52,6.571346594066001,7.0
53,5.054116060927906,5.0
54,4.818685499580468,5.0
55,5.96372147685959,6.0
56,6.03614665694611,6.0
57,5.938748286834611,6.0
58,7.028455132161397,5.0
59,5.3576179518255,5.0
60,6.938720881685919,5.0
61,4.9700517469803955,6.0
62,4.894795880140164,5.0
63,5.216399230652471,6.0
64,4.947105047936396,5.0
65,5.272323639242857,6.0
66,6.510707779054637,7.0
67,5.59738371694151,6.0
68,5.89670335907319,6.0
69,6.630657472624825,6.0
70,5.1557096266698155,5.0
71,5.896558240786763,6.0
72,5.635438076597436,6.0
73,5.401743605357669,6.0
74,4.693457755657661,5.0
75,5.107956163326692,5.0
76,6.400756279583269,6.0
77,4.7431461184437715,6.0
78,4.722255075818311,5.0
79,5.977090953075829,6.0
80,5.868575124429094,5.0
81,5.214088434860928,5.0
82,5.304422672523542,5.0
83,5.377063614025653,6.0
84,6.1748596403401494,5.0
85,5.1193567962640225,5.0
86,4.91427144152823,5.0
87,6.094219965476775,7.0
88,5.36131136067951,5.0
89,5.635805764763363,6.0
90,4.8022697435300765,5.0
91,6.3339423803793755,7.0
92,5.264606392018639,5.0
93,6.042148436975487,6.0
94,5.917547354577176,5.0
95,5.6120394209327795,5.0
96,6.243475688760546,6.0
97,5.47390495186447,5.0
98,6.08390747063249,3.0
99,5.34784391906503,6.0
100,5.423715161888629,5.0
101,5.08744672511583,5.0
102,5.3091898397707995,5.0
103,5.100630632502802,5.0
104,5.255258643052232,5.0
105,5.826048495334152,5.0
106,5.926402623316854,6.0
107,5.705042141020072,6.0
108,5.726764586246346,5.0
109,5.4397543552515035,6.0
110,7.7009114567425785,7.0
111,5.455443860565009,5.0
112,5.93096434422542,6.0
113,5.662916582127523,6.0
114,5.403495058968347,5.0
115,6.982250793410115,7.0
116,5.021652070753985,5.0
117,5.4224592177702995,5.0
118,5.039379594815478,5.0
119,4.95225685790738,5.0
120,5.097670631746255,4.0
121,6.904113967214693,7.0
122,6.1920686013471355,7.0
123,4.554423893748706,5.0
124,5.476040440097569,5.0
125,5.801135572421113,5.0
126,6.159681280672452,6.0
127,5.432823157687365,5.0
128,5.588486876504434,7.0
129,5.963364371898546,7.0
130,5.380745342413934,6.0
131,4.979149270457667,5.0
132,6.106486848474992,7.0
133,5.433919033657654,5.0
134,5.696623908108437,6.0
135,6.4732804567068065,7.0
136,4.976985165517206,5.0
137,6.292134370300331,7.0
138,5.739955253907401,6.0
139,5.628913647024897,6.0
140,4.943644743953962,5.0
141,5.485196602876969,6.0
142,5.609868723215388,6.0
143,4.784279366518413,5.0
144,6.035824970703483,6.0
145,6.5923161399129535,6.0
146,5.609839061733169,6.0
147,4.667168986965939,5.0
148,5.838997476675577,6.0
149,5.917343904203686,6.0
150,5.338009836281429,6.0
151,6.217639136387725,6.0
152,5.29025083232217,5.0
153,5.489141863639984,6.0
154,5.720976093921721,5.0
155,6.467073411410621,7.0
156,6.260990876804873,5.0
157,6.2770574835054695,6.0
158,5.852831852445196,6.0
159,5.693474869963441,6.0
160,6.428313624424808,8.0
161,6.017228837549953,6.0
162,5.0120330438224725,5.0
163,4.845680984619825,5.0
164,5.982645368461951,6.0
165,6.1032441573332745,6.0
166,5.703855565264954,4.0
167,5.241179123323212,5.0
168,4.866934572899317,5.0
169,6.295734688318185,6.0
170,5.501981030161788,6.0
171,5.628933840089007,6.0
172,5.636612493167961,4.0
173,5.133127341222257,7.0
174,6.327947166829891,5.0
175,5.313264502387471,6.0
176,5.2871114898771525,5.0
177,5.546407896012149,5.0
178,5.498647624012745,5.0
179,5.6120394209327795,5.0
180,6.05732662619003,6.0
181,6.045318522799818,6.0
182,6.151889591247547,5.0
183,5.0153042484481,6.0
184,5.907596520660477,6.0
185,6.245777679010676,6.0
186,6.547461002463542,7.0
187,5.565560682752072,6.0
188,4.723973530377674,4.0
189,4.989321088976023,6.0
190,5.718084985828613,5.0
191,5.588526197658634,6.0
192,5.608165723759098,6.0
193,6.4592772758955075,5.0
194,5.270811085891968,6.0
195,5.5283853906147655,5.0
196,5.6025896798735735,4.0
197,5.8563535182567765,5.0
198,5.019390813208866,6.0
199,5.410373966348995,5.0
200,6.618060379598444,7.0
201,5.424568799409223,5.0
202,6.482927976186793,7.0
203,5.350801614071611,5.0
204,6.925139099506595,7.0
205,5.926551525189882,6.0
206,5.371980330125828,5.0
207,5.510700539789035,5.0
