,0,1
0,5.0,5.0
1,5.0,6.0
2,6.0,6.0
3,6.0,6.0
4,6.0,6.0
5,6.0,6.0
6,6.0,6.0
7,5.0,5.0
8,4.0,5.0
9,5.0,5.0
10,6.0,6.0
11,5.0,6.0
12,5.0,6.0
13,7.0,6.0
14,6.0,6.0
15,5.0,5.0
16,6.0,6.0
17,5.0,5.0
18,6.0,5.0
19,5.0,5.0
20,5.0,6.0
21,6.0,6.0
22,5.0,5.0
23,6.0,6.0
24,5.0,6.0
25,6.0,6.0
26,6.0,6.0
27,6.0,6.0
28,5.0,6.0
29,5.0,7.0
30,6.0,6.0
31,6.0,6.0
32,5.0,5.0
33,7.0,6.0
34,5.0,5.0
35,6.0,6.0
36,5.0,5.0
37,5.0,7.0
38,6.0,6.0
39,5.0,5.0
40,6.0,6.0
41,5.0,5.0
42,5.0,5.0
43,6.0,6.0
44,5.0,5.0
45,6.0,6.0
46,5.0,5.0
47,5.0,5.0
48,5.0,5.0
49,6.0,6.0
50,5.0,5.0
51,5.0,4.0
52,6.0,7.0
53,5.0,5.0
54,5.0,5.0
55,6.0,6.0
56,6.0,6.0
57,6.0,6.0
58,6.0,5.0
59,5.0,5.0
60,6.0,5.0
61,5.0,6.0
62,5.0,5.0
63,5.0,6.0
64,5.0,5.0
65,5.0,6.0
66,7.0,7.0
67,6.0,6.0
68,6.0,6.0
69,7.0,6.0
70,5.0,5.0
71,6.0,6.0
72,6.0,6.0
73,6.0,6.0
74,5.0,5.0
75,5.0,5.0
76,6.0,6.0
77,5.0,6.0
78,5.0,5.0
79,6.0,6.0
80,6.0,5.0
81,5.0,5.0
82,5.0,5.0
83,5.0,6.0
84,6.0,5.0
85,5.0,5.0
86,5.0,5.0
87,6.0,7.0
88,5.0,5.0
89,6.0,6.0
90,5.0,5.0
91,6.0,7.0
92,5.0,5.0
93,6.0,6.0
94,6.0,5.0
95,5.0,5.0
96,6.0,6.0
97,6.0,5.0
98,5.0,3.0
99,6.0,6.0
100,6.0,5.0
101,5.0,5.0
102,5.0,5.0
103,5.0,5.0
104,5.0,5.0
105,5.0,5.0
106,6.0,6.0
107,5.0,6.0
108,6.0,5.0
109,5.0,6.0
110,6.0,7.0
111,6.0,5.0
112,6.0,6.0
113,5.0,6.0
114,5.0,5.0
115,7.0,7.0
116,5.0,5.0
117,5.0,5.0
118,5.0,5.0
119,5.0,5.0
120,5.0,4.0
121,7.0,7.0
122,6.0,7.0
123,5.0,5.0
124,5.0,5.0
125,6.0,5.0
126,6.0,6.0
127,5.0,5.0
128,7.0,7.0
129,6.0,7.0
130,5.0,6.0
131,5.0,5.0
132,7.0,7.0
133,5.0,5.0
134,6.0,6.0
135,6.0,7.0
136,5.0,5.0
137,6.0,7.0
138,5.0,6.0
139,5.0,6.0
140,5.0,5.0
141,6.0,6.0
142,5.0,6.0
143,5.0,5.0
144,6.0,6.0
145,6.0,6.0
146,5.0,6.0
147,5.0,5.0
148,6.0,6.0
149,6.0,6.0
150,5.0,6.0
151,7.0,6.0
152,5.0,5.0
153,5.0,6.0
154,6.0,5.0
155,6.0,7.0
156,6.0,5.0
157,6.0,6.0
158,6.0,6.0
159,6.0,6.0
160,6.0,8.0
161,5.0,6.0
162,5.0,5.0
163,5.0,5.0
164,7.0,6.0
165,6.0,6.0
166,5.0,4.0
167,5.0,5.0
168,5.0,5.0
169,6.0,6.0
170,5.0,6.0
171,6.0,6.0
172,5.0,4.0
173,5.0,7.0
174,7.0,5.0
175,5.0,6.0
176,5.0,5.0
177,5.0,5.0
178,5.0,5.0
179,5.0,5.0
180,6.0,6.0
181,6.0,6.0
182,6.0,5.0
183,5.0,6.0
184,6.0,6.0
185,6.0,6.0
186,6.0,7.0
187,5.0,6.0
188,4.0,4.0
189,5.0,6.0
190,5.0,5.0
191,6.0,6.0
192,5.0,6.0
193,5.0,5.0
194,6.0,6.0
195,5.0,5.0
196,6.0,4.0
197,5.0,5.0
198,5.0,6.0
199,5.0,5.0
200,6.0,7.0
201,5.0,5.0
202,6.0,7.0
203,5.0,5.0
204,7.0,7.0
205,6.0,6.0
206,5.0,5.0
207,5.0,5.0
208,7.0,6.0
209,6.0,5.0
210,5.0,5.0
211,6.0,7.0
212,5.0,5.0
213,6.0,6.0
214,5.0,5.0
215,5.0,6.0
216,5.0,5.0
217,5.0,5.0
218,6.0,7.0
219,6.0,6.0
220,6.0,5.0
221,5.0,6.0
222,5.0,5.0
223,5.0,5.0
224,6.0,6.0
225,6.0,5.0
226,5.0,4.0
227,6.0,7.0
228,7.0,7.0
229,6.0,7.0
230,5.0,6.0
231,5.0,6.0
232,6.0,7.0
233,7.0,6.0
234,5.0,6.0
235,5.0,6.0
236,6.0,6.0
237,5.0,6.0
238,5.0,5.0
239,5.0,4.0
240,6.0,6.0
241,6.0,5.0
242,6.0,7.0
243,5.0,6.0
244,5.0,6.0
245,7.0,8.0
246,6.0,6.0
247,5.0,5.0
248,5.0,5.0
249,5.0,5.0
250,5.0,5.0
